epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.0105,2.01593,2.90415,1.65309,0.39665,0.27161,0.51038,0.17915,1.59926,2.67019,1.24715,0.00040008,0.00040008,0.00040008
2,113.417,1.44725,1.45705,1.25158,0.66332,0.73465,0.71886,0.4219,1.35442,1.68691,1.34323,0.000800657,0.000800657,0.000800657
3,155.453,1.35504,1.08315,1.23129,0.90927,0.94359,0.98371,0.60689,1.31568,0.88908,1.3048,0.00118473,0.00118473,0.00118473
4,200.004,1.30087,0.8822,1.21056,0.97739,0.97651,0.99194,0.56806,1.4704,0.82816,1.16155,0.0015523,0.0015523,0.0015523
5,241.032,1.2694,0.80812,1.21796,0.97133,0.98505,0.98958,0.49067,1.79688,0.85061,1.40196,0.00153497,0.00153497,0.00153497
6,285.19,1.29453,0.77975,1.2104,0.99493,0.99429,0.99435,0.6182,1.28832,0.67871,1.2522,0.00150197,0.00150197,0.00150197
7,321.68,1.25237,0.74833,1.18731,0.99104,0.99741,0.9945,0.43634,1.95518,0.73911,1.62807,0.00146896,0.00146896,0.00146896
8,364.422,1.28619,0.7523,1.19224,0.99731,0.99923,0.99448,0.63101,1.24409,0.65757,1.22995,0.00143595,0.00143595,0.00143595
9,405.942,1.25905,0.7121,1.17782,0.98304,0.9874,0.99378,0.65092,1.24258,0.69034,1.16655,0.00140295,0.00140295,0.00140295
10,446.593,1.22279,0.68004,1.161,0.99585,0.99068,0.99453,0.6544,1.18471,0.59254,1.20845,0.00136994,0.00136994,0.00136994
11,489.149,1.26028,0.68859,1.18519,0.99663,0.99789,0.99452,0.64743,1.23457,0.59541,1.17877,0.00133693,0.00133693,0.00133693
12,533.655,1.20041,0.65314,1.14867,0.99552,0.99541,0.99468,0.63234,1.29593,0.58013,1.17978,0.00130393,0.00130393,0.00130393
13,575.16,1.18905,0.627,1.13704,0.9969,0.99743,0.99455,0.65892,1.21672,0.54452,1.15374,0.00127092,0.00127092,0.00127092
14,617.111,1.18522,0.62453,1.15252,0.98906,0.99682,0.99445,0.48111,1.82655,0.66371,1.34384,0.00123791,0.00123791,0.00123791
15,657.711,1.16145,0.60722,1.12497,0.9697,0.97824,0.99182,0.59893,1.44908,0.59613,1.26896,0.00120491,0.00120491,0.00120491
16,701.209,1.17927,0.59995,1.13754,0.96836,0.98553,0.99402,0.63182,1.26703,0.57054,1.19598,0.0011719,0.0011719,0.0011719
17,743.591,1.19456,0.59669,1.15399,0.99836,0.99931,0.99411,0.67216,1.1386,0.49531,1.11499,0.00113889,0.00113889,0.00113889
18,786.632,1.15815,0.58666,1.1305,0.99734,0.99872,0.99368,0.65296,1.21105,0.50054,1.13234,0.00110589,0.00110589,0.00110589
19,822.244,1.13362,0.56436,1.11288,0.998,0.99928,0.99363,0.68193,1.12972,0.48366,1.10195,0.00107288,0.00107288,0.00107288
20,860.902,1.12359,0.55583,1.11463,0.9938,0.99929,0.9947,0.65702,1.20011,0.49449,1.12093,0.00103987,0.00103987,0.00103987
21,898.834,1.14022,0.55082,1.11752,0.99724,0.99553,0.99469,0.63297,1.31478,0.50652,1.16048,0.00100687,0.00100687,0.00100687
22,943.612,1.13128,0.53846,1.11001,0.99644,0.99814,0.99479,0.66785,1.17738,0.48125,1.12426,0.000973861,0.000973861,0.000973861
23,985.337,1.10883,0.53816,1.11013,0.99822,0.99947,0.99432,0.68416,1.08899,0.46037,1.11316,0.000940855,0.000940855,0.000940855
24,1028.29,1.10723,0.53594,1.10309,0.99508,0.99063,0.99446,0.69262,1.08143,0.44909,1.105,0.000907848,0.000907848,0.000907848
25,1071.48,1.12181,0.53249,1.10193,0.99867,0.99688,0.99428,0.66996,1.19083,0.47193,1.09302,0.000874842,0.000874842,0.000874842
